cardano,Cardano,ADA,cardano
adx-net,AdEx,ADX,adex
aion,aion,AION,aionnetwork
amber,ambrosus,AMB,ambrosus
ark,ark,ARK,arkecosystem
aeron,aeron,ARN,aeronaero
airswap,AirSwap,AST,airswap
basic-attention-token,Basic Attention Token,BAT,basicattentiontoken
blockmason,BlockMason Credit Protocol,BCPT,blockmason
binance-coin,Binance Coin,BNB,bnbtrader
bancor,Bancor,BNT,bancor
bitcoin-gold,Bitcoin Gold,BTG,BitcoinGoldHQ
bitshares,BitShares,BTS,bitshares
coindash,CoinDash,CDT,coindash
cybermiles,CyberMiles,CMT,cybermiles
cindicator,Cindicator,CND,cindicator
centra,Centra,CTR,centratech
dash,Dash,DASH,dash,dashpay
digixdao,DigixDAO,DGD,digix
agrello-delta,Agrello,DLT,agrello
district0x,district0x,DNT,district0x
eidoo,Eidoo,EDO,eidoo
aelf,aelf,ELF,aelftrader
enigma-project,Enigma,ENG,enigmacatalyst
enjin-coin,Enjin Coin,ENJ,enjincoin
eos,EOS,EOS,eos
ethereum-classic,Ethereum Classic,ETC,ethereumclassic
ethereum,Ethereum,ETH,ethereum
everex,Everex,EVX,everex
etherparty,Etherparty,FUEL,etherparty
funfair,FunFair,FUN,funfair
gas,Gas,GAS,gas
genesis-vision,Genesis Vision,GVT,genesisvision
gxshares,GXShares,GXS,gxs
hshare,Hshare,HSR,hshare
iconomi,Iconomi,ICN,iconomi
icon,ICON,ICX,icon
komodo,Komodo,KMD,komodoplatform
kyber-network,Kyber Network,KNC,kybernetwork
ethlend,ETHLend,LEND,ethlend
chainlink,ChainLink,LINK,linktrader
loopring,Loopring,LRC,loopring
lisk,Lisk,LSK,lisk
litecoin,Litecoin,LTC,litecoin
lunyr,Lunyr,LUN,lunyr
decentraland,Decentraland,MANA,decentraland
monaco,Monaco,MCO,monacocard
modum,Modum,MOD,modum_io
monetha,Monetha,MTH,monetha
nav-coin,NAV Coin,NAV,navcoin
neblio,Neblio,NEBL,neblio
neo,NEO,NEO,neo
oax,OAX,OAX,openanx
omisego,OmiseGO,OMG,omise_go
simple-token,Simple Token,OST,simple_token
power-ledger,Power Ledger,POWR,powerledger
populous,Populous,PPT,populous_platform
quantstamp,Quantstamp,QSP,quantstamp
qtum,Qtum,QTUM,qtum
ripio-credit-network,Ripio Credit Network,RCN,ripiocreditnetwork
raiden-network-token,Raiden Network Token,RDN,raidennetwork
request-network,Request Network,REQ,requestnetwork
salt,SALT,SALT,saltcoin
singulardtv,SingularDTV,SNGLS,singulardtv
sonm,SONM,SNM,sonm
status,Status,SNT,statusim
storj,Storj,STORJ,storj
stratis,Stratis,STRAT,stratis
substratum,Substratum,SUB,substratumnetwork
time-new-bank,Time New Bank,TNB,timenewbank
tierion,Tierion,TNT,tierion
tron,TRON,TRX,tronix
viberate,Viberate,VIB,viberate
wabi,WaBi,WABI,wabitoken
waves,WAVES,wavesplatform
wings,Wings,WINGS,wingsdao
walton,Walton,WTC,waltonchain
stellar,Stellar,XLM,stellar
monero,Monero,XMR,monero
ripple,Ripple,XRP,ripple
verge,Verge,XVG,verge
zcoin,ZCoin,XZC,zcoin
zcash,Zcash,ZEC,zec
